num,date,current,volume,T,H,AQI,CO,NO2,O3,PM10,PM2.5,SO2
725,2018/9/1 23:00,325.45,5.451753529,24.855,77.3,51,0.489,15,83,37,16.5,6.5
726,2018/9/2 0:00,418.5916667,5.453089185,24.32166667,80.415,65,0.511,8,118,38,21,6
727,2018/9/2 1:00,399.0116667,5.454625429,24.64666667,79.84666667,55,0.4445,9.5,107,30,14.5,5.5
728,2018/9/2 2:00,307.915,5.455872593,24.77,77.92166667,55,0.4445,9.5,107,30,14.5,5.5
729,2018/9/2 3:00,296.39,5.456942406,24.53,78.05666667,55,0.4445,9.5,107,30,14.5,5.5
730,2018/9/2 4:00,322.4083333,5.458060119,24.42166667,79.04666667,55,0.4445,9.5,107,30,14.5,5.5
731,2018/9/2 5:00,330.39,5.45925936,24.46666667,79.045,55,0.4445,9.5,107,30,14.5,5.5
732,2018/9/2 6:00,200.4916667,5.460230284,26.07,72.45333333,55,0.4445,9.5,107,30,14.5,5.5
733,2018/9/2 7:00,81.77333333,5.460720753,30.735,58.435,55,0.4445,9.5,107,30,14.5,5.5
734,2018/9/2 8:00,26.31,5.460891484,33.17,51.91,55,0.4445,9.5,107,30,14.5,5.5
735,2018/9/2 9:00,18.39166667,5.460967332,32.54,53.93833333,55,0.4445,9.5,107,30,14.5,5.5
736,2018/9/2 10:00,11.19,5.461021737,35.375,45.53333333,45,0.378,11,96,22,8,5
737,2018/9/2 11:00,9.48,5.461056418,35.06166667,47.96666667,45,0.378,9,104,21,8,5
738,2018/9/2 12:00,12.46,5.461094741,34.03666667,51.01333333,45,0.378,9,107,25,8,5
739,2018/9/2 13:00,21.10666667,5.461151017,31.43833333,56.83833333,46,0.389,10,104,24,9,6
740,2018/9/2 14:00,50.22833333,5.461283493,28.50333333,65.02666667,47,0.389,9,101,23,8,5
741,2018/9/2 15:00,43.01166667,5.461447481,28.31,66.14666667,49,0.344,9,93,21,7,4
742,2018/9/2 16:00,81.645,5.461662168,27.33,69.8,50,0.344,11,88,19,4,4
743,2018/9/2 17:00,157.3666667,5.462076208,26.255,73.76,50,0.356,14,87,18,5,4
744,2018/9/2 18:00,327.2683333,5.462960766,25.17,78.04833333,49,0.367,13,87,18,6,4
745,2018/9/2 19:00,384.3183333,5.464273297,25.13333333,79.69166667,48,0.378,16,84,19,6,5
746,2018/9/2 20:00,412.7886364,5.465503105,25.175,80.48636364,46,0.356,16,85,19,6,5
747,2018/9/2 21:00,478.1551724,5.467722514,24.94137931,82.27241379,45,0.356,15,87,20,7,5
749,2018/9/2 23:00,531.1457627,5.47164492,25.16949153,82.76440678,44,0.378,14,87,26,7,5
750,2018/9/3 0:00,502.43,5.473548607,25.39,82.66333333,47.5,0.4,10.5,93.5,26,8.5,5
751,2018/9/3 1:00,442.4295455,5.475508653,25.88181818,82.68181818,51,0.422,7,100,26,10,5
752,2018/9/3 2:00,494.2283333,5.476906463,25.99333333,84.405,53,0.467,6,103,27,10,6
753,2018/9/3 3:00,604.5038462,5.478800618,26.16923077,87.11923077,52,0.478,6,99,30,13,6
761,2018/9/3 11:00,64.45172414,5.595935465,32.32413793,80.18275862,47,0.578,11.5,116,34,14.5,7
762,2018/9/3 12:00,36.10333333,5.596057927,34.46333333,64.94666667,47,0.578,11.5,116,34,14.5,7
763,2018/9/3 13:00,28.16833333,5.596165542,32.74666667,66.205,47,0.578,11.5,116,34,14.5,7
764,2018/9/3 14:00,39.045,5.596284275,31.025,72.27666667,42,0.678,17,133,38,16,8
765,2018/9/3 15:00,61.21833333,5.5964576,30.25666667,75.25333333,47,0.678,15,149,44,25,6
766,2018/9/3 16:00,107.8933333,5.596750821,28.5,82.735,53,0.7,16,147,50,26,6
767,2018/9/3 17:00,174.0319149,5.597194164,27.65531915,86.51914894,61,0.711,21,139,49,27,7
769,2018/9/3 19:00,110.259322,5.616333404,23.76779661,92.44576271,73,0.722,31,116,52,27,5
770,2018/9/3 20:00,97.02333333,5.616701992,24.26666667,87.805,76,0.756,38,105,48,30,5
771,2018/9/3 21:00,92.80833333,5.617041569,24.54,83.27166667,75,0.811,31,108,57,37,5
772,2018/9/3 22:00,88.54333333,5.617368233,24.09833333,81.53833333,72.5,0.8665,30.5,108,69.5,42.5,5
773,2018/9/3 23:00,87.87,5.617679997,23.62,81.39,70,0.922,30,108,82,48,5
774,2018/9/4 0:00,88.465,5.618005232,23.535,82.125,68,0.867,26,107,83,48,6
775,2018/9/4 1:00,83.08666667,5.618312853,23.315,80.75666667,66,0.789,17,111,79,39,7
776,2018/9/4 2:00,77.26666667,5.618600893,23.135,78.61666667,61,0.722,15,93,69,33,8
777,2018/9/4 3:00,73.67333333,5.61887006,22.445,79.48666667,58,0.7,19,65,64,25,9
778,2018/9/4 4:00,77.09166667,5.619142133,21.905,82.15,54,0.633,20,46,56,20,9
779,2018/9/4 5:00,75.53,5.619418289,22.18333333,81.855,47,0.656,23,35,46,15,9
780,2018/9/4 6:00,58.69833333,5.61966371,25.74166667,69.94833333,45,0.689,27,26,44,14,9
781,2018/9/4 7:00,44.61,5.61984735,29.34333333,58.91333333,43,0.789,30,24,42,13,9
782,2018/9/4 8:00,31.27666667,5.619985429,31.93833333,52.905,49,0.867,31,32,48,14,10
783,2018/9/4 9:00,20.315,5.620073915,34.325,44.825,53,0.944,33,46,53,17,11
784,2018/9/4 10:00,15.07166667,5.620136981,36.06833333,41.19,56,0.863,32,67,60,16,11
785,2018/9/4 11:00,11.79833333,5.620185516,37.65166667,36.58666667,54,0.775,26,92,56,15,9
786,2018/9/4 12:00,10.455,5.620224221,36.39333333,39.99333333,52,0.678,18,111,52,15,8
787,2018/9/4 13:00,10.34666667,5.620261311,33.255,44.72666667,42,0.7,14,120,41,11,8
788,2018/9/4 14:00,10.74666667,5.62030044,31.63833333,43.65666667,42,0.589,14,122,41,10,9
789,2018/9/4 15:00,10.54,5.620337162,30.885,42.08666667,44,0.462,18,111,39,12,18
790,2018/9/4 16:00,15.67833333,5.620383119,29.775,44.20333333,50,0.833,19,110,33,7,7
791,2018/9/4 17:00,21.84833333,5.620451735,27.80166667,49.96833333,56,0.433,20,112,34,8,6
792,2018/9/4 18:00,23.04333333,5.620532851,26.44166667,52.445,60,0.444,24,102,33,7,6
793,2018/9/4 19:00,23.16166667,5.620617693,25.52,53.75833333,60,0.433,29,91,35,8,6
794,2018/9/4 20:00,22.55166667,5.620698874,24.74,54.77166667,56,0.433,33,80,38,9,6
795,2018/9/4 21:00,28.00333333,5.620788135,22.67666667,62.08166667,51,0.478,35,72,41,9,7
796,2018/9/4 22:00,33.94333333,5.62090079,21.92666667,64.885,47,0.533,47,59,42,9,6
797,2018/9/4 23:00,39.02666667,5.621031228,21.96,66.345,43,0.556,48,55,39,10,6
798,2018/9/5 0:00,54.03,5.621197038,22.18333333,71.535,44,0.522,40,64,43,10,6
799,2018/9/5 1:00,68.66833333,5.621421548,21.89166667,74.73333333,44,0.489,44,49,43,9,7
800,2018/9/5 2:00,69.915,5.621671433,20.735,76.94,44,0.5,34,53,43,9,7
801,2018/9/5 3:00,81.58833333,5.621944899,21.17833333,76.78666667,36,0.478,30,59,35,10,7
802,2018/9/5 4:00,88.93833333,5.622253951,21.48,77.39333333,35,0.489,36,48,34,10,7
803,2018/9/5 5:00,76.17666667,5.622551671,21.7,74.93,41,0.5,38,41,40,13,8
804,2018/9/5 6:00,51.67166667,5.622788116,26.31333333,61.78333333,43,0.667,38,39,42,14,10
805,2018/9/5 7:00,32.89,5.622933252,28.71166667,54.64333333,49,0.711,45,34,48,17,12
806,2018/9/5 8:00,15.27833333,5.623020747,35.26666667,36.295,53,0.789,50,38,54,19,15
807,2018/9/5 9:00,8.775,5.623060568,37.44166667,30.67,57,0.867,44,58,62,18,21
808,2018/9/5 10:00,7.671666667,5.623089841,37.10166667,29.17666667,56,0.956,39,84,59,19,25
809,2018/9/5 11:00,6.371666667,5.623114474,37.58166667,30.07333333,54,0.844,32,103,56,18,19
810,2018/9/5 12:00,7.316666667,5.623137914,35.09,36.44833333,52,0.878,25,137,52,18,23
811,2018/9/5 13:00,10.42,5.623155508,33.53,44.04,58,0.589,21,147,63,25,14
