T,H,PM2.5,E,current
28.39166667,85.35333333,15.0,23.445273460914454,0.1
26.85,92.23833333,13.0,22.701993673716203,0.1
26.52666667,93.455,13.0,22.558689006416657,0.1
26.84833333,91.55,10.0,22.563976863995823,0.1
27.71333333,86.365,12.0,22.930626264687806,0.1
27.915,85.94,12.0,23.04315238091351,0.1
27.06166667,89.71,10.0,22.607006650929513,0.1
26.80333333,90.15,11.0,22.492085062730457,0.1
26.47666667,88.95666667,10.0,22.186174263458067,0.1
26.78333333,87.52833333,12.0,22.377916577086307,0.1
26.92,88.11333333,14.0,22.573131108395398,0.1
27.88166667,85.575,12.0,23.00342439166734,0.1
31.7,72.04666667,14.0,25.081573481688807,0.1
35.105,60.18333333,15.0,27.107297109620287,0.1
36.50833333,56.38166667,21.0,28.251943086416325,0.1
36.84833333,57.615,20.0,28.47651604932631,0.1
36.27166667,58.355,15.0,27.882880675670794,0.1
34.83166667,64.62666667,12.0,26.948685500907697,0.1
33.825,67.84166667,11.0,26.315655299181213,0.1
31.835,74.615,12.0,25.203834664094273,0.1
31.24333333,78.04333333,11.0,24.90264149758592,0.1
31.185,77.5,16.0,25.019283699778455,0.1
31.82833333,74.89166667,16.0,25.356089461443904,0.1
30.51166667,79.305,13.0,24.519784333324164,0.1
28.065,88.98333333,17.0,23.49600357053796,0.108333333
27.65166667,91.00666667,17.0,23.32857439999961,0.10166666699999999
27.50166667,92.03,16.0,23.23708938995529,0.1
27.365,93.97166667,14.0,23.164696514903635,0.1
27.41666667,93.94666667,15.0,23.23793196662983,0.165
27.445,93.54666667,13.0,23.155544187858883,0.231666667
27.53666667,93.87166667,10.0,23.133717851031786,0.40166666700000003
27.49166667,93.69666667,8.0,23.04374399924271,0.251666667
27.47727273,92.93181818,10.0,23.04566073905787,0.0
27.13103448,97.38275862,14.5,23.217827573680047,19.72068966
27.415,95.755,14.5,23.311749294615364,13.255
28.74333333,89.29333333,21.0,24.16304494606202,6.846666667
29.945,83.78666667,20.0,24.642697159639525,1.483333333
31.7559322,85.03220339,21.0,25.955924227315478,0.323728814
33.28166667,74.37833333,25.0,26.794686632505027,0.111666667
32.66333333,73.33166667,26.0,26.401660919790103,0.1
32.17333333,75.58333333,25.0,26.090118584516176,0.078333333
31.22833333,77.80666667,24.0,25.479019057272396,0.10333333300000001
30.78333333,79.85333333,22.0,25.144308392267874,0.10166666699999999
30.01166667,82.77,26.0,25.009190753119324,0.10166666699999999
28.85166667,87.53833333,20.0,24.093963373638037,0.556666667
27.995,89.83166667,24.0,23.89212426778393,1.9533333330000002
27.825,91.96,20.0,23.644582086600725,4.065
27.38,94.76333333,22.0,23.622064343946846,8.078333333
27.53166667,94.925,25.0,23.921827286850018,10.04
27.64666667,94.85166667,23.0,23.857945173008904,10.27333333
27.575,96.06833333,23.0,23.875938556305005,12.21166667
27.49166667,97.02,25.0,24.005827067958652,12.50833333
27.35666667,97.92666667,19.0,23.603191181543856,15.15333333
27.44833333,98.65,21.0,23.811385930196394,19.27666667
27.59166667,98.165,19.0,23.764860865195494,15.62166667
27.56166667,98.59666667,19.0,23.76908414804086,16.45333333
27.62666667,98.33,19.0,23.795909649921512,15.94833333
28.34833333,94.55333333,19.0,24.05891137152847,7.5083333329999995
29.775,88.79166667,19.0,24.70575079127273,2.185
29.71666667,88.57,20.0,24.70915246370938,0.825
30.71166667,85.115,21.0,25.26412583790417,0.40166666700000003
34.23,73.60166667,18.0,27.047217837992566,0.128333333
32.63333333,77.50166667,19.0,26.141247386535376,0.108333333
33.31333333,74.68,22.0,26.653052660913083,0.128333333
